Lesson #,Q&A,Verb,Adverb,Verb Affix,Function Words,Pronoun,Noun,Adjective,Preposition,Numbers,Special
1,"asa,unsa, oo, dili","istoria, tanaw,paminaw, itudlo, nagtudlo,basa, sulat",,,"ang, og, sa, Si","ako / ko, ikaw / ka, kini / ni, kana / na","bolpen, lapis, libro, papel, ngalan, maestro / maestra, Estudiante",,,,maayong adlaw
2,"asa,unsa, oo, dili","lingkod, tindog, butang, kuha, istoria, tanaw,paminaw, itudlo, nagtudlo,basa, sulat","nag-, -a, -i, i-, pag-",,"ang, og, sa, nga, ka, mga, Si","ako / ko, ikaw / ka, kini / ni, kana / na","lamesa, lingkuranan, mga butang, bolpen, lapis, libro, papel, ngalan, maestro / maestra, estudiante","itom, puti, pula, green",,"isa, duha, tulo, upat, lima",tabang
