Lesson,CardNum,Maranao,WordNote,Cebuano Word,WordNote,English,EnglishNote,Grammar,Category,SubCategory1,SubCategory2,ACTFLEst,Type
5,62,Rekiyan,,Iyang,,His/Her,,Pronoun,Function Word,Possessive,Possessive,Novice-Mid,N
5,63,Iran,,Ila,,Theirs,,Pronoun,Function Word,Pronoun,Pronoun,Novice-High,N
5,63,Iran,,Ilang,,Their,,Pronoun,Function Word,Possessive,Possessive,Novice-High,N
5,64,Reka,,Imo/Imong,,Your,,Pronoun,Function Word,Possessive,Possessive,Novice-Mid,N
5,65,Kemer,,Tudlo,,Finger,,Noun / Verb,You,Body Part,Body Part,Novice-High,N
5,66,Olo,,Ulo,,Head,,Noun,You,Body Part,Body Part,Novice-High,N
5,67,Waga,,Abaga,,Shoulders,,Noun,You,Body Part,Body Part,Novice-High,N
5,68,Leb,,Tuhod,,Knee,,Noun,You,Body Part,Body Part,Novice-High,N
5,69,Ai,,Tiil,,Foot,,Noun,You,Body Part,Body Part,Novice-High,N
5,70,Kemer sa ai,,Tudlo sa Tiil,,Toes,,Noun phrase,You,Body Part,Body Part,Intermediate-Low,N
5,71,Lima,,Kamot,,Hands,,Noun,You,Body Part,Body Part,Novice-High,N
5,72,Mala,,Dako,,Big,,Adjective,Function Word,Size,Size,Novice-Mid,N
5,73,Maito,,Gamay,,Small,,Adjective,Function Word,Size,Size,Novice-Mid,N
5,74,Diwang,,Wala,,Left,,Adverb / Adjective,Function Word,Direction,Direction,Novice-Mid,N
5,75,Kawanan,,Tuo,,Right,,Adverb,Function Word,Direction,Direction,Novice-High,N
5,76,Liyawao,,Taas,,Up,,Adjective,Function Word,Size,Size,Novice-Mid,N
5,77,Baba,,Ubos,,Below,,Adjective,Function Word,Size,Size,Novice-High,N
6,78,Song,,Adto,,Go,,Verb,You,Personal Action,Movement,Novice-Mid,N
6,79,Torog,,Tulog,,Sleep,,Verb / Noun,You,Personal Action,Daily Activity,Novice-High,N
